Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,GTIN,MPN,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,clothing,,Andy & Evan Blue Plaid Long Sleeve Button-Up Shirt Size 16,"<p>Andy &amp; Evan Plaid long sleeve shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p><p><strong>Materials:</strong> 60% Cotton / 40% Polyester</p>",SC-ANDYEVAN-1,,,Size,16,,,,,14.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, andy, long sleeve shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/andy%20and%20evan%20long%20sleeve%20plaid%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/andy%20and%20evan%20long%20sleeve%20plaid%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/andy%20and%20evan%20long%20sleeve%20plaid.jpg"
,,PHYSICAL,clothing,,Rabbit & Bear Blue Cotton Size 4,"<p>Rabbit &amp; Bear Blue Cotton clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RABBITBE-2,,,Size,4,,,,,10.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, rabbit",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/blue%20cotton%20rabbit%20%26%20bear%20.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/blue%20cotton%20rabbit%20and%20bear%20brand%20tag.jpg"
,,PHYSICAL,clothing,,H&M Blue Short Sleeve Button-Up Shirt Size s,"<p>H&amp;M Blue Short Sleeve button-up shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-HM-4,,,Size,S,,,,,7.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, h&m, button-up shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Blue%20short%20sleeve%20button%20up%20H%26M%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Blue%20short%20sleeve%20button%20up%20H%26M%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Blue%20short%20sleeve%20button%20up%20H%26M.jpg"
,,PHYSICAL,clothing,,Burberry Button-Up Shirt Size M,"<p>Burberry button-up shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-BURBERRY-5,,,Size,M,,,,,48.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, burberry, button-up shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Burberry%20button%20up%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/burberry%20button%20up%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Burberry%20button%20up.jpg"
,,PHYSICAL,clothing,,Cheeky Plum Plaid Dress Size l,"<p>Cheeky Plum Plaid dress for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-CHEEKYPL-6,,,Size,L,,,,,18.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, cheeky, dress",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/cheeky%20plum%20plaid%20dress%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/cheeky%20plum%20plaid%20dress%20detail.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/cheeky%20plum%20plaid%20dress%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/cheeky%20plum%20plaid%20dress.jpg"
,,PHYSICAL,clothing,,Faded Glory Size L,"<p>Faded Glory clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-FADEDGLO-7,,,Size,L,,,,,6.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, faded",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/faded%20glory%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/faded%20glory%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/faded%20glory.jpg"
,,PHYSICAL,clothing,,Gap / Disney Mickey Mouse Stripe Size S,"<p>Gap / Disney Mickey Mouse Stripe clothing item for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-GAPDISNE-8,,,Size,S,,,,,8.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, gap",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/gap%20disney%20mickey%20mouse%20stripe%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/gap%20disney%20mickey%20mouse%20stripe%20detail.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/gap%20disney%20mickey%20mouse%20stripe%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/gap%20disney%20mickey%20mouse%20stripe.jpg"
,,PHYSICAL,clothing,,H&M Button Up Vest Size 92,"<p>H&amp;M Button Up vest for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Materials:</strong> 100% cotton</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-HM-9,,,Size,92,,,,,6.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, h&m, vest",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/H%26M%20button%20up%20vest%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/H%26M%20button%20up%20vest%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/H%26M%20button%20up%20vest.jpg"
,,PHYSICAL,clothing,,H&M Long Sleeve Blue Button-Up Shirt Size SM,"<p>H&amp;M Long Sleeve Blue button-up shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-HM-10,,,Size,SM,,,,,7.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, h&m, button-up shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/H%26M%20long%20sleeve%20blue%20button%20up%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/H%26M%20long%20sleeve%20blue%20button%20up%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/H%26M%20long%20sleeve%20blue%20button%20up.jpg"
,,PHYSICAL,clothing,,Hanna Andersson Red and White Striped Long Sleeve Shirt Size 10,"<p>Hanna Andersson Red and White Striped long sleeve shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-HANNAAND-11,,,Size,10,,,,,14.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, hanna, long sleeve shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/hanna%20andersson%20red%20and%20white%20striped%20long%20sleeve%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/hanna%20andersson%20red%20and%20white%20striped%20long%20sleeve.jpg"
